"Institution.Individual","Year","Incidents"
"Registered Equity - Futures",2004,4
"Other Registered Futures Associations",2004,4
"Securities Brokers - Clearing ",2004,2265
"Securities Brokers - Introducing ",2004,1858
"Securities Dealer",2004,1159
"Securities Floor Broker",2004,27
"Securities Options Broker - Dealer",2004,69
"Self Regulatory Organization (SRO)",2004,0
"Specialist",2004,1
"Subsidiary of Bank",2004,99
"U.S. Government Broker - Dealer",2004,51
"U.S. Government Interdealer Broker",2004,3
"Other",2004,676
"Unknown/Blank",2004,698
"Agriculture Trade Option Merchant",2005,2
"Affiliate of Bank Holding Company",2005,683
"Commodity Pool Operator",2005,2
"Commodity Trading Advisor",2005,2
"Direct Participation Program",2005,12
"Futures Commission Merchant",2005,80
"Futures Floor Broker",2005,1
"Futures Floor Trader",2005,1
"Introducing Broker - Futures",2005,6
"Investment Advisor",2005,256
"Investment Company - Mutual Fund ",2005,622
"Market Maker",2005,473
"Municipal Securities Dealer",2005,103
"National Futures Association",2005,9
"Registered Equity - Futures",2005,2
"Other Registered Futures Associations",2005,7
"Securities Brokers - Clearing ",2005,3376
"Securities Brokers - Introducing ",2005,2694
"Securities Dealer",2005,1400
"Securities Floor Broker",2005,20
"Securities Options Broker - Dealer",2005,84
"Self Regulatory Organization (SRO)",2005,1
"Specialist",2005,5
"Subsidiary of Bank",2005,93
"U.S. Government Broker - Dealer",2005,54
"U.S. Government Interdealer Broker",2005,3
"Other",2005,806
"Unknown/Blank",2005,307
"Agriculture Trade Option Merchant",2006,62
"Affiliate of Bank Holding Company",2006,1196
"Commodity Pool Operator",2006,2
"Commodity Trading Advisor",2006,2
"Direct Participation Program",2006,7
"Futures Commission Merchant",2006,172
"Futures Floor Broker",2006,3
"Futures Floor Trader",2006,3
"Introducing Broker - Futures",2006,14
"Investment Advisor",2006,698
"Investment Company - Mutual Fund ",2006,646
"Market Maker",2006,384
"Municipal Securities Dealer",2006,78
"National Futures Association",2006,15
"Registered Equity - Futures",2006,2
"Other Registered Futures Associations",2006,10
"Securities Brokers - Clearing ",2006,2976
"Securities Brokers - Introducing ",2006,3016
"Securities Dealer",2006,1673
"Securities Floor Broker",2006,28
"Securities Options Broker - Dealer",2006,165
"Self Regulatory Organization (SRO)",2006,4
"Specialist",2006,3
"Subsidiary of Bank",2006,79
"U.S. Government Broker - Dealer",2006,54
"U.S. Government Interdealer Broker",2006,3
"Other",2006,1490
"Unknown/Blank",2006,393
"Agriculture Trade Option Merchant",2007,31
"Affiliate of Bank Holding Company",2007,1708
"Commodity Pool Operator",2007,21
"Commodity Trading Advisor",2007,1
"Direct Participation Program",2007,4
"Futures Commission Merchant",2007,352
"Futures Floor Broker",2007,0
"Futures Floor Trader",2007,21
"Introducing Broker - Futures",2007,20
"Investment Advisor",2007,1143
"Investment Company - Mutual Fund ",2007,1404
"Market Maker",2007,1074
"Municipal Securities Dealer",2007,81
"National Futures Association",2007,11
"Registered Equity - Futures",2007,0
"Other Registered Futures Associations",2007,4
"Securities Brokers - Clearing ",2007,4292
"Securities Brokers - Introducing ",2007,3897
"Securities Dealer",2007,2914
"Securities Floor Broker",2007,11
"Securities Options Broker - Dealer",2007,197
"Self Regulatory Organization (SRO)",2007,1
"Specialist",2007,2
"Subsidiary of Bank",2007,190
"U.S. Government Broker - Dealer",2007,46
"U.S. Government Interdealer Broker",2007,1
"Other",2007,3206
"Unknown/Blank",2007,277
"Agriculture Trade Option Merchant",2008,33
"Affiliate of Bank Holding Company",2008,1853
"Commodity Pool Operator",2008,3
"Commodity Trading Advisor",2008,3
"Direct Participation Program",2008,25
"Futures Commission Merchant",2008,786
"Futures Floor Broker",2008,3
"Futures Floor Trader",2008,1
"Introducing Broker - Futures",2008,36
"Investment Advisor",2008,1430
"Investment Company - Mutual Fund ",2008,1874
"Market Maker",2008,906
"Municipal Securities Dealer",2008,86
"National Futures Association",2008,12
"Registered Equity - Futures",2008,2
"Other Registered Futures Associations",2008,2
"Securities Brokers - Clearing ",2008,5391
"Securities Brokers - Introducing ",2008,4626
"Securities Dealer",2008,3469
"Securities Floor Broker",2008,219
"Securities Options Broker - Dealer",2008,164
"Self Regulatory Organization (SRO)",2008,1
"Specialist",2008,3
"Subsidiary of Bank",2008,359
"U.S. Government Broker - Dealer",2008,46
"U.S. Government Interdealer Broker",2008,2
"Other",2008,3260
"Unknown/Blank",2008,421
"Agriculture Trade Option Merchant",2009,26
"Affiliate of Bank Holding Company",2009,1742
"Commodity Pool Operator",2009,2
"Commodity Trading Advisor",2009,4
"Direct Participation Program",2009,18
"Futures Commission Merchant",2009,2003
"Futures Floor Broker",2009,6
"Futures Floor Trader",2009,3
"Introducing Broker - Futures",2009,35
"Investment Advisor",2009,1240
"Investment Company - Mutual Fund ",2009,1941
"Market Maker",2009,962
"Municipal Securities Dealer",2009,117
"National Futures Association",2009,35
"Registered Equity - Futures",2009,0
"Other Registered Futures Associations",2009,1
"Securities Brokers - Clearing ",2009,7500
"Securities Brokers - Introducing ",2009,5617
"Securities Dealer",2009,4116
"Securities Floor Broker",2009,254
"Securities Options Broker - Dealer",2009,158
"Self Regulatory Organization (SRO)",2009,1
"Specialist",2009,1
"Subsidiary of Bank",2009,1123
"U.S. Government Broker - Dealer",2009,66
"U.S. Government Interdealer Broker",2009,3
"Other",2009,3345
"Unknown/Blank",2009,524
"Agriculture Trade Option Merchant",2010,8
"Affiliate of Bank Holding Company",2010,911
"Commodity Pool Operator",2010,0
"Commodity Trading Advisor",2010,0
"Direct Participation Program",2010,22
"Futures Commission Merchant",2010,708
"Futures Floor Broker",2010,0
"Futures Floor Trader",2010,0
"Introducing Broker - Futures",2010,13
"Investment Advisor",2010,665
"Investment Company - Mutual Fund ",2010,892
"Market Maker",2010,431
"Municipal Securities Dealer",2010,56
"National Futures Association",2010,9
"Registered Equity - Futures",2010,0
"Other Registered Futures Associations",2010,0
"Securities Brokers - Clearing ",2010,4146
"Securities Brokers - Introducing ",2010,3698
"Securities Dealer",2010,1794
"Securities Floor Broker",2010,11
"Securities Options Broker - Dealer",2010,78
"Self Regulatory Organization (SRO)",2010,1
"Specialist",2010,31
"Subsidiary of Bank",2010,312
"U.S. Government Broker - Dealer",2010,38
"U.S. Government Interdealer Broker",2010,2
"Other",2010,1536
"Unknown/Blank",2010,181
