"State.Territory","Year","Incidents"
"Puerto Rico","2002",1836
"Rhode Island","2002",1204
"South Carolina","2002",1323
"South Dakota","2002",3546
"Tennessee","2002",2162
"Texas","2002",17203
"U.S. Virgin Islands","2002",68
"Unknown/Blank","2002",250
"Utah","2002",3425
"Vermont","2002",132
"Virginia","2002",3536
"Washington","2002",3561
"West Virginia","2002",298
"Wisconsin","2002",1666
"Wyoming","2002",151
"Alabama","2003",1579
"Alaska","2003",487
"American Samoa","2003",3
"Arizona","2003",12078
"Arkansas","2003",1031
"California","2003",68546
"Colorado","2003",3766
"Connecticut","2003",2385
"Delaware","2003",6595
"District of Columbia","2003",826
"Federated States of Micronesia","2003",3
"Florida","2003",15650
"Georgia","2003",5696
"Guam","2003",78
"Hawaii","2003",1455
"Idaho","2003",432
"Illinois","2003",12707
"Indiana","2003",2695
"Iowa","2003",905
"Kansas","2003",2016
"Kentucky","2003",1910
"Louisiana","2003",2596
"Maine","2003",718
"Marshall Islands","2003",0
"Maryland","2003",3137
"Massachusetts","2003",5541
"Michigan","2003",7687
"Minnesota","2003",4064
"Mississippi","2003",889
"Missouri","2003",2873
"Montana","2003",319
"Nebraska","2003",3417
"Nevada","2003",4451
"New Hampshire","2003",793
"New Jersey","2003",10209
"New Mexico","2003",856
"New York","2003",30225
"North Carolina","2003",3562
"North Dakota","2003",201
"Northern Mariana Islands","2003",30
"Ohio","2003",8561
"Oklahoma","2003",1397
"Oregon","2003",2192
"Overseas","2003",23
"Palau","2003",3
"Pennsylvania","2003",7549
"Puerto Rico","2003",2423
"Rhode Island","2003",1393
"South Carolina","2003",1307
"South Dakota","2003",3891
"Tennessee","2003",2706
"Texas","2003",17611
"U.S. Virgin Islands","2003",78
"Unknown/Blank","2003",491
"Utah","2003",4441
"Vermont","2003",176
"Virginia","2003",4771
"Washington","2003",4103
"West Virginia","2003",463
"Wisconsin","2003",2021
"Wyoming","2003",332
"Alabama","2004",2343
"Alaska","2004",1022
"American Samoa","2004",29
"Arizona","2004",11481
"Arkansas","2004",1057
"California","2004",94123
"Colorado","2004",5054
"Connecticut","2004",2870
"Delaware","2004",9119
"District of Columbia","2004",1206
"Federated States of Micronesia","2004",1
"Florida","2004",17319
"Georgia","2004",6885
"Guam","2004",130
"Hawaii","2004",1593
"Idaho","2004",638
"Illinois","2004",13910
"Indiana","2004",3616
"Iowa","2004",1511
"Kansas","2004",2270
"Kentucky","2004",2622
"Louisiana","2004",3730
"Maine","2004",752
"Marshall Islands","2004",0
"Maryland","2004",4613
"Massachusetts","2004",7559
"Michigan","2004",10788
"Minnesota","2004",6102
"Mississippi","2004",1399
"Missouri","2004",3425
"Montana","2004",452
"Nebraska","2004",1919
"Nevada","2004",6159
"New Hampshire","2004",1060
"New Jersey","2004",18714
"New Mexico","2004",1041
"New York","2004",39045
"North Carolina","2004",5876
"North Dakota","2004",288
"Northern Mariana Islands","2004",51
"Ohio","2004",10850
"Oklahoma","2004",1746
"Oregon","2004",2392
"Overseas","2004",68
"Palau","2004",2
"Pennsylvania","2004",11474
"Puerto Rico","2004",3922
"Rhode Island","2004",1368
"South Carolina","2004",1962
"South Dakota","2004",4522
"Tennessee","2004",4280
"Texas","2004",23231
"U.S. Virgin Islands","2004",94
"Unknown/Blank","2004",793
"Utah","2004",6277
"Vermont","2004",229
"Virginia","2004",6053
"Washington","2004",5575
"West Virginia","2004",865
"Wisconsin","2004",3787
"Wyoming","2004",409
"Alabama","2005",3904
"Alaska","2005",2153
"American Samoa","2005",28
"Arizona","2005",13775
"Arkansas","2005",1559
"California","2005",130655
"Colorado","2005",7349
"Connecticut","2005",3499
"Delaware","2005",14614
"District of Columbia","2005",1428
"Federated States of Micronesia","2005",0
"Florida","2005",25135
"Georgia","2005",9069
"Guam","2005",234
"Hawaii","2005",2012
"Idaho","2005",1060
"Illinois","2005",17137
"Indiana","2005",5480
"Iowa","2005",1856
"Kansas","2005",2592
"Kentucky","2005",3284
"Louisiana","2005",4844
"Maine","2005",1032
"Marshall Islands","2005",1
"Maryland","2005",5470
"Massachusetts","2005",8471
"Michigan","2005",12004
"Minnesota","2005",7272
"Mississippi","2005",2182
"Missouri","2005",5335
"Montana","2005",758
"Nebraska","2005",1744
"Nevada","2005",8722
"New Hampshire","2005",1400
"New Jersey","2005",16086
"New Mexico","2005",1727
"New York","2005",58168
"North Carolina","2005",11366
"North Dakota","2005",378
"Northern Mariana Islands","2005",73
"Ohio","2005",16650
"Oklahoma","2005",2576
"Oregon","2005",3711
"Overseas","2005",128
"Palau","2005",10
"Pennsylvania","2005",14896
"Puerto Rico","2005",3944
"Rhode Island","2005",1618
"South Carolina","2005",2616
"South Dakota","2005",5547
"Tennessee","2005",7464
"Texas","2005",32561
"U.S. Virgin Islands","2005",108
"Unknown/Blank","2005",2540
"Utah","2005",11888
"Vermont","2005",488
"Virginia","2005",8109
"Washington","2005",7706
"West Virginia","2005",1169
"Wisconsin","2005",4660
"Wyoming","2005",410
"Alabama","2006",5249
"Alaska","2006",2038
"American Samoa","2006",56
"Arizona","2006",14023
"Arkansas","2006",1760
"California","2006",123794
"Colorado","2006",7571
"Connecticut","2006",6733
"Delaware","2006",17111
"District of Columbia","2006",1537
"Federated States of Micronesia","2006",2
"Florida","2006",33067
"Georgia","2006",11836
"Guam","2006",349
"Hawaii","2006",3970
"Idaho","2006",1130
"Illinois","2006",20118
"Indiana","2006",5650
"Iowa","2006",1813
"Kansas","2006",2801
"Kentucky","2006",3065
"Louisiana","2006",5627
"Maine","2006",1914
"Marshall Islands","2006",1
"Maryland","2006",6232
"Massachusetts","2006",11287
"Michigan","2006",12309
"Minnesota","2006",6657
"Mississippi","2006",2712
"Missouri","2006",7181
"Montana","2006",691
"Nebraska","2006",1474
"Nevada","2006",8705
"New Hampshire","2006",1582
"New Jersey","2006",17355
"New Mexico","2006",1485
"New York","2006",58019
"North Carolina","2006",13897
"North Dakota","2006",371
"Northern Mariana Islands","2006",109
"Ohio","2006",19498
"Oklahoma","2006",2779
"Oregon","2006",3519
"Overseas","2006",209
"Palau","2006",10
"Pennsylvania","2006",16321
"Puerto Rico","2006",4599
"Rhode Island","2006",2134
"South Carolina","2006",3657
"South Dakota","2006",5965
"Tennessee","2006",9184
"Texas","2006",36097
"U.S. Virgin Islands","2006",370
"Unknown/Blank","2006",2220
"Utah","2006",13046
"Vermont","2006",673
"Virginia","2006",11836
"Washington","2006",7309
"West Virginia","2006",1307
"Wisconsin","2006",4699
"Wyoming","2006",367
"Alabama","2007",5062
"Alaska","2007",2028
"American Samoa","2007",107
"Arizona","2007",12885
"Arkansas","2007",1792
"California","2007",149990
"Colorado","2007",6768
"Connecticut","2007",7313
"Delaware","2007",29854
"District of Columbia","2007",1888
